Title,Year,Bond actor,Box office,Budget
A View to a Kill,1985,Roger Moore,152.4,30.0
Casino Royale,1967,David Niven,44.4,12
Casino Royale,2006,Daniel Craig,594.2,150.0
Diamonds Are Forever,1971,Sean Connery,116.0,7.2
Die Another Day,2002,Pierce Brosnan,431.9,142.0
Dr. No,1962,Sean Connery,59.5,1.1
For Your Eyes Only,1981,Roger Moore,194.9,28.0
From Russia with Love,1963,Sean Connery,78.9,2.0
GoldenEye,1995,Pierce Brosnan,351.9,60.0
Goldfinger,1964,Sean Connery,124.9,3.0
Licence to Kill,1989,Timothy Dalton,156.2,36.0
Live and Let Die,1973,Roger Moore,126.4,7.0
Moonraker,1979,Roger Moore,210.3,34.0
Never Say Never Again,1983,Sean Connery,160,36
Octopussy,1983,Roger Moore,183.7,27.5
On Her Majesty's Secret Service,1969,George Lazenby,64.6,7.0
Quantum of Solace,2008,Daniel Craig,576.0,200.0
Skyfall,2012,Daniel Craig,1108.6,200.0
Spectre,2015,Daniel Craig,880.7,250.0
The Living Daylights,1987,Timothy Dalton,191.2,40.0
The Man with the Golden Gun,1974,Roger Moore,98.5,7.0
The Spy Who Loved Me,1977,Roger Moore,185.4,14.0
The World Is Not Enough,1999,Pierce Brosnan,361.8,135.0
Thunderball,1965,Sean Connery,141.2,6.8
Tomorrow Never Dies,1997,Pierce Brosnan,338.9,110.0
You Only Live Twice,1967,Sean Connery,101.0,10.3
